n,e_total,temperature,e_pot,e_kin
561,-1945.066520494912311,605.514656431985031,-1988.975330670554513,43.908810175641236
561,-1944.340604188201496,612.110320746155253,-1988.727698034228979,44.387093846031227
561,-1943.614704921343900,617.083957813272377,-1988.362461360000452,44.747756438658364
561,-1942.888797594448079,622.082505954713952,-1987.999023048788331,45.110225454337730
561,-1942.162882780271502,622.513541639722575,-1987.304364726700896,45.141481946432492
561,-1941.436969623029881,624.710666379864733,-1986.737775761081593,45.300806138047541
561,-1940.711082686825193,631.310330426521659,-1986.490462535301504,45.779379848476253
561,-1939.985188984095885,641.642577594836439,-1986.513810283265229,46.528621299169764
561,-1939.259209456672579,637.336177705707428,-1985.475552773360050,46.216343316690676
561,-1938.533307049551013,630.854349934068637,-1984.279621536729337,45.746314487177060
561,-1937.807428238932971,644.222173126830626,-1984.523108545413834,46.715680306480628
561,-1937.081470980378981,646.387828560040703,-1983.954193486105396,46.872722505728078
561,-1936.355527141694211,642.008982760123331,-1982.910718259909800,46.555191118214005
561,-1935.629662923178785,652.298418882104897,-1982.930991055080995,47.301328131902025
561,-1934.903787449192123,651.657816977354287,-1982.158662424041950,47.254874974847880
561,-1934.177870891020120,667.558043966359719,-1982.585748590407775,48.407877699379320
561,-1933.451941666544599,667.419322549436288,-1981.849760001882032,48.397818335335359
561,-1932.726058083347425,670.263530843317085,-1981.330123783220643,48.604065699869707
561,-1932.000151876535710,677.311999040709679,-1981.115336256720866,49.115184380187209
561,-1931.274191461041482,674.350636139333460,-1980.174633026801303,48.900441565762314
561,-1930.548328710456872,671.544059750171300,-1979.245251783964250,48.696923073507385
561,-1929.822377520995815,679.226080392029189,-1979.076361241253608,49.253983720257722
561,-1929.096459759002073,672.860372172719849,-1977.888835042754636,48.792375283754701
561,-1928.370590191398833,691.251979667439628,-1978.496630306770157,50.126040115369328
561,-1927.644659390658717,688.063414957434247,-1977.539481184397800,49.894821793736384
561,-1926.918736497755617,684.597035598555067,-1976.562194279655387,49.643457781901077
561,-1926.192772260355468,690.428249662402436,-1976.259079710228434,50.066307449870855
561,-1925.466919670535162,690.749196165835770,-1975.556500510978367,50.089580840442032
561,-1924.740935056465787,670.202828836752019,-1973.340598958862529,48.599663902398525
561,-1924.015057458331739,675.896703107538542,-1973.027611852915697,49.012554394584150
561,-1923.289147144653271,693.437982993288301,-1973.573704983843754,50.284557839190747
561,-1922.563250157128095,700.752235987508811,-1973.378200023811360,50.814949866680593
561,-1921.837360120153335,703.591658479829448,-1972.858210309638025,51.020850189487724
561,-1921.111428380908819,710.655603245229372,-1972.644519531863352,51.533091150958100
561,-1920.385488908869547,709.976004802906232,-1971.869299074333640,51.483810165464867
561,-1919.659560886544568,711.567147621379945,-1971.258752549779729,51.599191663231238
561,-1918.933712884414717,705.727167650696515,-1970.109419221174448,51.175706336759788
561,-1918.207803424047142,710.524943868067453,-1969.731419828638991,51.523616404593994
561,-1917.481897574041113,715.844842228277003,-1969.391285660243966,51.909388086205446
561,-1916.755924987381604,707.755317443845570,-1968.078702321234005,51.322777333851661
561,-1916.030046504952679,713.894497480319728,-1967.798005615979037,51.767959111026229
561,-1915.304114109524335,712.034921412162703,-1966.937226323422692,51.633112213900773
561,-1914.578186560430595,709.010566401371875,-1965.991988095949637,51.413801535518367
561,-1913.852325260338830,720.759795852498655,-1966.118120517562147,52.265795257222074
561,-1913.126330630001803,698.082767827055136,-1963.747704388358898,50.621373758353258
561,-1912.400479641341690,701.627989655932311,-1963.278934662157553,50.878455020815217
561,-1911.674720179712267,722.738050116162867,-1964.083968266721513,52.409248087008564
561,-1910.948712614577516,727.112450668782685,-1963.675169742620028,52.726457128039975
561,-1910.222741143276153,711.106247523123102,-1961.788510700683219,51.565769557408736
561,-1909.496804721502485,721.219323949578893,-1961.795922594069907,52.299117872571934
561,-1908.771033633257048,729.906080016539931,-1961.700070400663890,52.929036767407460
561,-1908.045099215976052,728.943450349220598,-1960.904331028402567,52.859231812427751
561,-1907.319135211255798,718.372578774604222,-1959.411821757719963,52.092686546461913
561,-1906.593273866909158,737.733441512116428,-1960.089910652641493,53.496636785729962
561,-1905.867326735902907,749.533769008580634,-1960.219662610911428,54.352335875006972
561,-1905.141465667836655,752.251336373698109,-1959.690865558231735,54.549399890397758
561,-1904.415548065117036,754.262283328742342,-1959.110771491218884,54.695223426103006
561,-1903.689654502841222,752.810374425041346,-1958.279592958933108,54.589938456089975
561,-1902.963705612312879,735.516445305858269,-1956.299577229860915,53.335871617543589
561,-1902.237701414299863,732.797457472835617,-1955.376406011419704,53.138704597122221
561,-1901.511892406684410,742.386199679832544,-1955.345923296767296,53.834030890083035
561,-1900.785948779473529,747.630928812610591,-1955.000300465205555,54.214351685735942
561,-1900.059981965374618,727.580994007918662,-1952.820415447772575,52.760433482400103
561,-1899.334174917621795,733.606726948461187,-1952.531563576988447,53.197388659363767
561,-1898.608119936939829,728.195633170541782,-1951.413123891793475,52.805003954859252
561,-1897.882312449991332,714.890246055339844,-1949.722478128932607,51.840165678941212
561,-1897.156375044675769,712.796387611817750,-1948.844704872976763,51.688329828306365
561,-1896.430330646375523,722.760338718108073,-1948.841194988222242,52.410864341844899
561,-1895.704578520378163,737.361468812232829,-1949.174241758076960,53.469663237697567
561,-1894.978872050678319,747.600129737169254,-1949.190990345791761,54.212118295110763
561,-1894.252886239602276,747.205696603246906,-1948.436402271462157,54.183516031861707
561,-1893.526878667324581,738.262068763334582,-1947.061848783847154,53.534970116526971
