nb_processes,n,e_total,e_pot,e_kin
1,923,-3129.541268003625191,-3141.401600396035064,11.860332392409934
1,923,-3129.541271693074123,-3141.369480099666362,11.828208406592433
1,923,-3129.541279827716153,-3141.395919651995428,11.854639824279271
1,923,-3129.541292225307643,-3141.468659444145942,11.927367218838201
1,923,-3129.541307948031772,-3141.569401956569891,12.028094008538183
1,923,-3129.541325374943426,-3141.675183559012567,12.133858184069060
1,923,-3129.541341444696172,-3141.761276200194970,12.219934755498713
1,923,-3129.541352091936915,-3141.806037206118162,12.264685114181436
1,923,-3129.541353595319833,-3141.797018858471347,12.255665263151352
1,923,-3129.541344225528064,-3141.736393424319886,12.195049198791990
1,923,-3129.541325564570798,-3141.643216627582660,12.101891063011758
1,923,-3129.541302651045044,-3141.550671741133556,12.009369090088555
1,923,-3129.541282730876901,-3141.498091300449232,11.956808569572487
1,923,-3129.541272862706137,-3141.519693923792147,11.978421061086131
1,923,-3129.541277481846919,-3141.633693629853497,12.092416148006777
1,923,-3129.541296509421954,-3141.835787629749575,12.294491120327828
1,923,-3129.541324930597511,-3142.099661616035519,12.558336685437963
1,923,-3129.541354863875767,-3142.384648188616666,12.843293324740875
1,923,-3129.541377838930202,-3142.648091535333606,13.106713696403308
1,923,-3129.541388094509784,-3142.858234954591353,13.316846860081583
1,923,-3129.541384242174445,-3143.003174621925609,13.461790379750973
1,923,-3129.541369513612608,-3143.092946858445430,13.551577344832832
1,923,-3129.541349822563006,-3143.154701101565479,13.613351279002353
1,923,-3129.541331075953622,-3143.223710049947385,13.682378973993627
1,923,-3129.541317858461753,-3143.333983843024271,13.792665984562632
1,923,-3129.541312929340620,-3143.511034310528430,13.969721381187803
1,923,-3129.541317917250126,-3143.767252282693335,14.225934365443077
1,923,-3129.541333234211379,-3144.099341995818577,14.558008761607342
1,923,-3129.541357240579146,-3144.487891238314205,14.946533997735038
1,923,-3129.541385712976989,-3144.900142549007796,15.358756836030981
1,923,-3129.541412734774894,-3145.296635620857614,15.755222886082553
1,923,-3129.541432722473928,-3145.640368109314295,16.098935386840154
1,923,-3129.541442954899594,-3145.905162555265633,16.363719600365872
1,923,-3129.541443857633567,-3146.080039581564051,16.538595723930698
1,923,-3129.541437726981258,-3146.168792228510938,16.627354501529865
1,923,-3129.541426845583828,-3146.186674231433244,16.645247385849459
1,923,-3129.541412272393700,-3146.156990915407732,16.615578643013926
1,923,-3129.541394547130949,-3146.109059189981053,16.567664642850215
1,923,-3129.541375463457371,-3146.076771675112468,16.535396211654991
1,923,-3129.541359727567396,-3146.095251696305695,16.553891968738434
1,923,-3129.541355219558682,-3146.193018598595700,16.651663379037050
1,923,-3129.541369015659711,-3146.380108389856105,16.838739374196436
1,923,-3129.541401224569654,-3146.638104785818541,17.096703561248958
1,923,-3129.541442391176588,-3146.920723092931894,17.379280701755512
1,923,-3129.541478305146939,-3147.168183725410017,17.626705420263207
1,923,-3129.541498065184896,-3147.328605413174046,17.787107347989149
1,923,-3129.541498750231767,-3147.374782736802445,17.833283986570798
1,923,-3129.541485428366741,-3147.308794175241928,17.767308746875244
1,923,-3129.541466746502010,-3147.154773217075672,17.613306470573566
1,923,-3129.541450567775428,-3146.945711087182190,17.404260519406726
1,923,-3129.541441319287514,-3146.711147012492347,17.169705693204993
1,923,-3129.541439777829964,-3146.469936470556604,16.928496692726839
1,923,-3129.541444509130997,-3146.228511534482550,16.687067025351734
2,923,-3129.540813137607984,-3129.545342113757215,0.004528976149170
2,923,-3129.540855793305582,-3130.081887631428799,0.541031838123442
2,923,-3129.540960719555187,-3131.447155810945333,1.906195091390016
2,923,-3129.541106157557806,-3133.475986745971113,3.934880588413329
2,923,-3129.541265299008501,-3135.938218067265552,6.396952768257218
2,923,-3129.541410940496462,-3138.581737411544964,9.040326471048438
2,923,-3129.541521440466568,-3141.175182025204776,11.633660584738358
2,923,-3129.541584697136841,-3143.541727523157533,14.000142826020468
2,923,-3129.541600489840675,-3145.577754787854246,16.036154298013717
2,923,-3129.541581467416108,-3147.252443008735099,17.710861541318835
2,923,-3129.541548131642230,-3148.588283772694467,19.046735641052408
2,923,-3129.541519934597545,-3149.629625872569704,20.088105937972383
2,923,-3129.541504941500534,-3150.413514733244483,20.872009791744116
2,923,-3129.541497629787045,-3150.957207282226591,21.415709652439531
2,923,-3129.541483997267733,-3151.266656194065035,21.725172196797313
2,923,-3129.541453113953139,-3151.356750749310777,21.815297635357535
2,923,-3129.541404092737139,-3151.267875097635624,21.726471004898336
2,923,-3129.541345779007315,-3151.068144820277666,21.526799041270444
2,923,-3129.541291100682429,-3150.841017427012957,21.299726326330337
2,923,-3129.541250833476624,-3150.665944532341200,21.124693698864498
2,923,-3129.541230727217226,-3150.601259300652600,21.060028573435506
2,923,-3129.541231659165533,-3150.674647024390651,21.133415365225055
2,923,-3129.541250990817389,-3150.881396912146101,21.340145921328570
2,923,-3129.541284698705113,-3151.187764974046786,21.646480275341581
2,923,-3129.541328134482683,-3151.536933611712357,21.995605477229795
2,923,-3129.541375626845365,-3151.856596380314841,22.315220753469376
2,923,-3129.541420355737046,-3152.068268438215000,22.526848082478114
2,923,-3129.541454896733740,-3152.098363709179466,22.556908812445762
2,923,-3129.541472176688330,-3151.890213380412206,22.348741203724039
2,923,-3129.541467587767784,-3151.415061268196041,21.873593680428083
2,923,-3129.541440795383096,-3150.679101622876715,21.137660827493548
2,923,-3129.541397319620501,-3149.723387244104742,20.181989924484107
2,923,-3129.541348331158133,-3148.614657837699269,19.073309506541083
2,923,-3129.541306710666959,-3147.428181912766377,17.886875202099340
2,923,-3129.541282669703378,-3146.227672829541916,16.686390159838410
2,923,-3129.541278827475253,-3145.049981957669843,15.508703130194505
2,923,-3129.541288377113688,-3143.901429378101966,14.360141000988381
2,923,-3129.541298351956812,-3142.767968305984141,13.226669954027162
2,923,-3129.541295395557427,-3141.634940285573066,12.093644890015680
2,923,-3129.541272290900451,-3140.507277418876583,10.966005127976310
2,923,-3129.541231707093175,-3139.420335497858105,9.879103790765065
2,923,-3129.541185249950104,-3138.435733452304703,8.894548202354644
2,923,-3129.541147801916395,-3137.623842738822532,8.082694936905927
2,923,-3129.541130672633699,-3137.041229288820432,7.500098616186942
2,923,-3129.541137110483760,-3136.713366599206438,7.172229488722669
2,923,-3129.541162844334849,-3136.629048553755183,7.087885709420333
2,923,-3129.541199354861874,-3136.746401657604110,7.205202302742225
2,923,-3129.541237096636451,-3137.005946251229943,7.464709154593499
2,923,-3129.541268241078797,-3137.345376969934478,7.804108728855821
2,923,-3129.541288206426543,-3137.712011685025573,8.170723478599095
2,923,-3129.541295868913494,-3138.070477806639701,8.529181937726175
2,923,-3129.541293457764368,-3138.404768070246519,8.863474612482287
2,923,-3129.541284653611910,-3138.715412614535126,9.174127960923016
2,923,-3129.541273327632098,-3139.013884003317798,9.472610675685633
2,923,-3129.541262088949225,-3139.316761590261649,9.775499501312579
2,923,-3129.541252653712945,-3139.641293842147206,10.100041188434131
2,923,-3129.541246349101584,-3140.002445070711929,10.461198721610348
2,923,-3129.541244395417834,-3140.410574847295720,10.869330451877737
2,923,-3129.541247968788412,-3140.869235035851034,11.327987067062526
2,923,-3129.541256990007241,-3141.373589201123650,11.832332211116396
2,923,-3129.541270001748671,-3141.910512889427991,12.369242887679249
2,923,-3129.541284268335403,-3142.460951621118966,12.919667352783605
2,923,-3129.541296923734080,-3143.004035291850869,13.462738368116591
2,923,-3129.541305632166313,-3143.521627738165080,13.980322105998987
