temp,f_zz,v_z,e_pot,t,v_z_0,rate,v_x,v_y
300.020118773213539,32.825954739580837,295.417741498036435,-190455.961555517103989,133500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
298.203977320595357,31.863169368640836,295.504062061442880,-190442.323095477302559,135000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
301.567399462625474,32.971697885784153,295.590382624849383,-190460.112540836271364,136500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.458164791663080,33.190021953171723,295.676703188255829,-190442.419606640003622,138000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
300.722671423184238,34.165936592716918,295.763023751662274,-190447.337013494106941,139500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.929200633792618,34.068780370815198,295.849344315068720,-190439.143295794667210,141000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.525225987269437,33.565781404712546,295.935664878475166,-190433.883567386335926,142500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
298.578301137135156,33.836614512180176,296.021985441881668,-190422.917460468248464,144000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.273717778390562,34.192423079582568,296.108306005288114,-190424.723437636857852,145500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
300.851367201331072,35.127749525452941,296.194626568694559,-190429.913952615024755,147000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.974226282583118,34.994154954289158,296.280947132101005,-190421.729047690692823,148500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
298.380831940209475,35.421567317975857,296.367267695507508,-190406.926797372696456,150000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
298.604820249294448,34.776843348858421,296.453588258913953,-190406.384694493026473,151500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
300.402318826562180,35.764239992317023,296.539908822320399,-190414.135679976578103,153000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
298.799368646213964,35.987474041006649,296.626229385726845,-190398.376976995932637,154500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
301.235302493621020,36.639037530956152,296.712549949133290,-190410.633774039713899,156000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.318894852372409,36.473374781864777,296.798870512539793,-190393.893114616163075,157500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.786700141159145,36.150179924350510,296.885191075946238,-190393.951647051464533,159000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
301.123866640419976,36.469125365438572,296.971511639352684,-190399.785839626856614,160500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
300.172678929002700,36.841936963171548,297.057832202759130,-190390.966405110957567,162000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.714254824044019,37.703727204528462,297.144152766165632,-190381.305176253663376,163500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
300.383616434461317,37.693850979814037,297.230473329572078,-190383.030901234626072,165000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.794077031951929,37.732753055718007,297.316793892978524,-190373.522930301784072,166500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
300.021349216016063,37.280518613396083,297.403114456384969,-190373.427049229445402,168000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
300.108641616882835,37.906185927086852,297.489435019791472,-190369.580838383088121,169500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
298.071895643045877,38.359608229739337,297.575755583197918,-190353.093304596055532,171000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
301.371603459329378,38.993515347191597,297.662076146604363,-190370.668383446871303,172500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.764824658637792,38.988629603858911,297.748396710010809,-190355.826141306431964,174000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.262309163646592,38.629154498959970,297.834717273417255,-190349.434603094356135,175500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.529264710598397,38.755364470498129,297.921037836823757,-190346.001078897970729,177000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.845581285934600,38.983158867451657,298.007358400230203,-190344.853345769195585,178500.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
299.053272646342748,39.792545539519359,298.093678963636648,-190334.552706946240505,180000.000000000000000,287.735211354861633,200000000.000000000000000,358.527104314653002,347.156310574009581
